title,url_Link,authors,publish_date,journal_name,doi,citations
A population model for the 2017/18 listeriosis outbreak in South Africa,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0229901,"Peter Joseph Witbooi, Charlene Africa, Alan Christoffels, Ibrahim Hussin Ibrahim Ahmed",published 12 Mar 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0229901,9
Reconstructing the Timing and Dispersion Routes of HIV-1 Subtype B Epidemics in The Caribbean and Central America: A Phylogenetic Story,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0069218,"Israel Pagán, África Holguín",published 09 Jul 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0069218,13
"Female-Biased Dispersal and Gene Flow in a Behaviorally Monogamous Mammal, the Large Treeshrew (",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0003228,Jason Munshi-South,published 17 Sep 2008,PLOS ONE,https://doi.org/10.1371/journal.pone.0003228,11
Tuberculosis Prevention in South Africa,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0122514,"Gwenan M. Knight, Peter J. Dodd, Alison D. Grant, Katherine L. Fielding, Gavin J. Churchyard, Richard G. White",published 07 Apr 2015,PLOS ONE,https://doi.org/10.1371/journal.pone.0122514,20
Origin and Genetic Diversity of Diploid Parthenogenetic,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0083348,"Marta Maccari, Francisco Amat, Africa Gómez",published 20 Dec 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0083348,34
"Middle Stone Age Ochre Processing and Behavioural Complexity in the Horn of Africa: Evidence from Porc-Epic Cave, Dire Dawa, Ethiopia",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0164793,"Daniela Eugenia Rosso, Africa Pitarch Martí, Francesco d’Errico",published 02 Nov 2016,PLOS ONE,https://doi.org/10.1371/journal.pone.0164793,47
Epidemiology of,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259771,"Pieter de Jager, Oliver Smith, Stefan Bolon, Juno Thomas, Guy A. Richards",published 23 Nov 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0259771,3
TB Incidence in an Adolescent Cohort in South Africa,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0059652,"Hassan Mahomed, Rodney Ehrlich, Tony Hawkridge, Mark Hatherill, Lawrence Geiter, Fazlin Kafaar, Deborah Ann Abrahams, Humphrey Mulenga, Michele Tameris, Hennie Geldenhuys, Willem Albert Hanekom, Suzanne Verver, Gregory Dudley Hussey",published 22 Mar 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0059652,52
"Awareness, treatment, and control of dyslipidemia in rural South Africa: The HAALSI (Health and Aging in Africa: A Longitudinal Study of an INDEPTH Community in South Africa) study",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0187347,"Sheridan Reiger, Thiago Veiga Jardim, Shafika Abrahams-Gessel, Nigel J. Crowther, Alisha Wade, F. Xavier Gomez-Olive, Joshua Salomon, Stephen Tollman, Thomas A. Gaziano",published 27 Oct 2017,PLOS ONE,https://doi.org/10.1371/journal.pone.0187347,38
Widespread Secondary Contact and New Glacial Refugia in the Halophilic Rotifer,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0020986,"Sergi Campillo, Manuel Serra, María José Carmona, Africa Gómez",published 16 Jun 2011,PLOS ONE,https://doi.org/10.1371/journal.pone.0020986,17
How the Avengers assemble: Ecological modelling of effective cast sizes for movies,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0223833,"Matthew Roughan, Lewis Mitchell, Tobin South",published 26 Feb 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0223833,1
Gearing up to improve exclusive breastfeeding practices in South Africa,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0265012,"Debbie Vitalis, Chantell Witten, Rafael Pérez-Escamilla",published 10 Mar 2022,PLOS ONE,https://doi.org/10.1371/journal.pone.0265012,8
Behavioural response to the Covid-19 pandemic in South Africa,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0250269,"Umakrishnan Kollamparambil, Adeola Oyenubi",published 16 Apr 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0250269,60
Stakeholders’ perspectives on Public Health Medicine in South Africa,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0221447,"Virginia E. M. Zweigenthal, William M. Pick, Leslie London",published 28 Aug 2019,PLOS ONE,https://doi.org/10.1371/journal.pone.0221447,3
The Cost of Voluntary Medical Male Circumcision in South Africa,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0160207,"Michel Tchuenche, Eurica Palmer, Vibhuti Haté, Ananthy Thambinayagam, Dayanund Loykissoonlal, Emmanuel Njeuhmeli, Steven Forsythe",published 26 Oct 2016,PLOS ONE,https://doi.org/10.1371/journal.pone.0160207,18
